cell_id	lat	lon	ts
222-01-129128511	45.8303892	9.0363426	1726485081
222-01-128886559	45.4999057	9.2373505	1726485117
222-01-106	45.841973	8.711892	1726483082
222-01-205248545	43.3032105	13.7266527	1726485079
222-01-205301781	43.2546727	13.7619129	1726485100
222-01-128521474	45.6897514	9.0541082	1726487999
222-01-205865001	43.8918735	12.8778413	1726485084
222-01-77388575	42.6420153	14.0005692	1726485095
222-01-128169022	45.8452347	8.8276611	1726485110
222-01-77352961	42.35681	13.283928	1726485086
222-50-256663122	43.1459045	13.8126953	1726485099
222-01-205248535	43.3043102	13.7269164	1726485102
222-01-205188413	43.2810773	13.6834641	1726485122
222-01-128311811	45.5398343	9.2782434	1726485090
276-02-25575987	40.4251639	19.4862433	1726485110
222-01-53267744	43.7265031	13.1924803	1726485115
222-01-129080381	46.0280978	9.1315203	1726485090
222-01-76802879	42.5592207	14.0878546	1726485120
222-50-258956093	45.8392557	9.0494015	1726485108
222-01-128216838	45.666611	9.699171	1726485080
222-10-7428405	45.4438511	9.1687001	1726485091
222-01-205042495	43.287435	13.7202526	1726485111
276-02-25591820	41.3454021	19.5076501	1726485107
222-01-128857119	45.8086762	9.0565173	1726485099
222-01-205664061	43.2851702	13.7419281	1726485094
222-01-128024894	45.8283095	9.0352411	1726485076
222-01-129066813	45.5363255	9.1036337	1726485076
276-02-5019-13133	41.247493	19.524314	1726485116
222-01-205320993	43.1823879	13.7962178	1726485115
222-01-205447465	43.2958604	13.7069152	1726485109
222-01-53216288	43.2929734	13.734937	1726485075
276-02-5083-1282	41.1985792	19.5479442	1726485096
222-01-128805930	45.6636536	8.9571227	1726485115
222-01-205290303	43.1871022	13.7926659	1726485103
222-01-205090840	42.9464542	13.8857343	1726485090
222-01-128458242	45.9419829	8.8125459	1726485076
222-10-6672651	46.0361702	9.2781734	1726485088
276-01-390659	40.326019	19.4618657	1726485078
222-01-205090847	42.943996	13.885838	1726485106
222-01-79397949	42.5946802	13.7128613	1726485101
222-01-53979937	45.512877	9.096909	1726485098
222-10-7501835	45.5039532	9.2992856	1726485118
276-01-297736	41.1875018	19.5453381	1726485076
276-01-12407-11422	40.2802867	19.5030399	1726485105
222-01-205414186	44.1565513	12.4279616	1726488000
222-10-7030561	45.7255006	9.026722	1726485105
222-88-82946050	43.1862148	13.7902922	1726485108
222-01-77494529	41.8700253	12.6022028	1726485102
222-01-205286717	43.3303782	13.7132584	1726485096
222-10-15115572	43.1778081	13.7843332	1726485120
276-01-12502-30933	41.229869	19.519404	1726485089
222-01-129049897	45.8111578	9.0723664	1726485107
222-01-205222432	43.1707355	13.8017509	1726485099
222-01-128619013	45.5396573	9.3352054	1726485102
222-01-53874503	43.379332	13.683291	1726485078
222-01-205668895	45.0639529	9.7197173	1726485113
222-01-205248573	43.2980505	13.7319656	1726485098
222-01-109	45.517633	9.100324	1726483083
222-01-128023596	45.8357038	9.0542592	1726485102
222-01-128325635	45.8116084	9.0776303	1726485096
222-01-129003325	45.5477132	9.0653074	1726485098
222-01-128924202	45.461186	9.1481684	1726485082
276-02-25356832	41.294873	19.507889	1726485108
276-02-25433356	41.0389801	19.745491	1726485081
276-02-25352737	41.3237148	19.8138903	1726485096
222-01-52479295	43.7546727	13.1611069	1726485103
222-01-128112416	45.5499424	9.2620617	1726485115
222-01-128265219	45.5577937	9.1529309	1726485105
276-02-25352747	41.3235661	19.8129671	1726485100
222-01-205320992	43.1777353	13.7982956	1726485106
222-01-128220675	45.851425	8.8480317	1726485082
222-01-129190973	45.8369334	9.0688994	1726485120
222-50-60230-4993	45.790898	9.02374	1726485101
276-02-25588000	41.2914944	19.5052585	1726485118
276-01-48392	41.3313972	19.8245488	1726485102
222-01-143	45.623073	8.997396	1726485079
222-01-128375101	45.8243689	8.7774492	1726485112
222-01-128048901	45.4844603	9.1728594	1726485106
222-01-129190976	45.8377909	9.0436207	1726485089
222-01-205319485	43.2911448	13.6909237	1726485106
222-01-205320994	43.1804604	13.7970113	1726485118
222-01-128023583	45.8408218	9.0631429	1726483199
222-01-53653823	43.2437321	13.7678012	1726485083
222-01-205321023	43.1813081	13.7968151	1726485086
222-01-205270313	43.3088436	13.7278609	1726485095
222-01-128886569	45.4965542	9.2372408	1726485098
222-01-129080597	46.0254438	9.1048646	1726485116
222-01-128458241	45.9304128	8.8064034	1726485116
222-01-128327942	45.7156245	8.8039959	1726485077
222-01-76907267	42.0676871	13.033537	1726485104
222-01-25302-36402	43.0927719	13.8391153	1726485105
222-01-205454634	43.098784	13.8355168	1726485081
222-01-128195591	45.5038565	9.299518	1726485100
222-88-29184521	45.8040473	9.0420954	1726485120
222-01-128220678	45.8611334	8.8553282	1726485087
276-01-69633	41.3198853	19.8080586	1726485089
222-01-129068319	45.9650595	8.9525536	1726485103
222-01-128444458	45.563526	9.051797	1726485074
222-01-205348139	43.3040132	13.7162115	1726485115
276-01-48903	41.3218959	19.8139922	1726485088
222-01-179699755	45.4631849	12.2823063	1726485120
222-01-205248575	43.3038084	13.7272911	1726485094
276-02-5064-1948	41.338421	19.809121	1726485101
222-01-128365857	45.9527357	9.1528635	1726485116
222-01-180233002	45.6705406	12.5234101	1726485114
222-01-79424287	42.0192814	13.7949265	1726485105
222-01-129077821	45.5479693	9.0355322	1726485113
222-01-129191465	45.8385274	9.0969007	1726485104
222-01-179913257	45.4363027	12.3236232	1726485104
276-02-25591052	40.2888972	19.5077538	1726485119
222-01-128052001	45.8161125	9.0658472	1726485084
222-01-205885503	44.5694795	11.0444767	1726485075
222-50-14516-38928	45.831096	9.071701	1726485084
222-50-60230-1845	45.842083	9.074275	1726485080
222-01-205518122	43.2551271	13.4156561	1726485107
222-01-142	46.216335	9.64205	1726485088
222-01-128863785	45.4834948	9.1847189	1726485089
222-01-205616682	42.9245635	13.8768465	1726485122
276-02-25560361	41.2313077	19.508229	1726485075
222-01-76803593	41.7959223	12.4808328	1726485114
276-02-25352717	41.3237424	19.8126505	1726485094
222-01-205894187	45.0593307	9.6978241	1726485098
222-01-204984363	44.8014183	10.338874	1726485104
276-01-292354	40.3136171	19.4919068	1726485081
222-01-205690943	43.2441582	13.7509597	1726485080
276-01-12411-10933	41.2293891	19.5161292	1726485110
222-01-205454654	43.0947231	13.8333509	1726485114
222-01-129128509	45.8269167	9.0459649	1726485081
222-01-128691971	45.6613051	9.0107676	1726485116
222-01-205299499	43.6454941	13.3603131	1726485103
276-02-25545759	40.8695372	19.6546601	1726485098
222-01-205073185	43.8832976	12.9063116	1726485092
222-01-205455678	43.2634605	13.757048	1726485085
222-01-128169002	45.8354954	8.8334184	1726485094
276-01-388611	41.227953	19.5088561	1726485091
222-01-205414207	44.1662724	12.420624	1726485108
276-01-452103	41.2052733	19.499793	1726485114
222-10-6669067	46.0199259	9.0791929	1726485101
222-01-128778283	45.8761827	8.8699391	1726485118
222-01-204824639	44.240536	12.0078617	1726487999
276-02-25591171	40.3360102	19.4770686	1726485078
222-01-205167915	43.0211151	13.8539121	1726485081
222-01-205361963	43.2913025	13.6997726	1726485082
222-01-128521790	46.0250447	9.2236338	1726485095
222-01-129164351	45.8134113	9.0773588	1726485110
276-02-25591072	40.3083803	19.4860023	1726485100
276-02-25535245	41.3428683	19.7691223	1726485097
222-01-205321021	43.1752269	13.798774	1726485090
222-01-128543494	45.5070217	9.1778044	1726485107
222-01-205361983	43.2899582	13.7017309	1726485105
